Pregunta,Respuesta
¿Realiza ejercicio regularmente?,Sí
¿Consume frutas y verduras diariamente?,No
¿Duerme al menos 7 horas por noche?,No
¿Bebe suficiente agua durante el día?,Sí
¿Evita el consumo excesivo de alimentos procesados?,Sí
¿Mantiene un peso saludable?,Sí
¿Realiza chequeos médicos periódicos?,No
¿Practica técnicas de manejo de estrés?,No
¿Evita el consumo de tabaco y alcohol?,Sí
¿Usa protector solar al exponerse al sol?,Sí
¿Lleva una alimentación equilibrada y variada?,No
¿Realiza actividades de ocio y recreación regularmente?,No
¿Tiene un nivel adecuado de vitamina D?,No
¿Evita el sedentarismo?,Sí
¿Realiza ejercicio regularmente?,No
¿Consume frutas y verduras diariamente?,Sí
¿Duerme al menos 7 horas por noche?,Sí
¿Bebe suficiente agua durante el día?,Sí
¿Evita el consumo excesivo de alimentos procesados?,Sí
¿Mantiene un peso saludable?,No
¿Realiza chequeos médicos periódicos?,Sí
¿Practica técnicas de manejo de estrés?,Sí
¿Evita el consumo de tabaco y alcohol?,Sí
¿Usa protector solar al exponerse al sol?,Sí
¿Lleva una alimentación equilibrada y variada?,Sí
¿Realiza actividades de ocio y recreación regularmente?,Sí
¿Tiene un nivel adecuado de vitamina D?,Sí
¿Evita el sedentarismo?,Sí
¿Realiza ejercicio regularmente?,No
¿Consume frutas y verduras diariamente?,Sí
¿Duerme al menos 7 horas por noche?,Sí
¿Bebe suficiente agua durante el día?,Sí
¿Evita el consumo excesivo de alimentos procesados?,Sí
¿Mantiene un peso saludable?,No
¿Realiza chequeos médicos periódicos?,Sí
¿Practica técnicas de manejo de estrés?,Sí
¿Evita el consumo de tabaco y alcohol?,Sí
¿Usa protector solar al exponerse al sol?,Sí
¿Lleva una alimentación equilibrada y variada?,Sí
¿Realiza actividades de ocio y recreación regularmente?,Sí
¿Tiene un nivel adecuado de vitamina D?,Sí
¿Evita el sedentarismo?,Sí
